circuit_name,shots,optimization_level,noise_rate,num_qubits,depth,count_1q,count_2q,runtime,tvd,top_state,success_probability,n_qubits_config,depth_config
Bell,128,0,0.0,2,3,1,1,0.012693405151367188,0.109375,00,,2,
Bell,128,0,0.001,2,3,1,1,0.013795614242553711,0.015625,11,,2,
Bell,128,0,0.05,2,3,1,1,0.01033473014831543,0.03124999999999989,00,,2,
Bell,128,0,0.01,2,3,1,1,0.013920068740844727,0.015625,00,,2,
Bell,128,1,0.001,2,3,1,1,0.002319812774658203,0.078125,11,,2,
Bell,128,1,0.01,2,3,1,1,0.0025866031646728516,0.0703125,11,,2,
Bell,128,1,0.0,2,3,1,1,0.0009508132934570312,0.0390625,00,,2,
Bell,128,1,0.05,2,3,1,1,0.002478361129760742,0.046875,11,,2,
Bell,128,2,0.001,2,3,1,1,0.0018413066864013672,0.046875,00,,2,
Bell,128,2,0.0,2,3,1,1,0.001123189926147461,0.015625,11,,2,
Bell,128,2,0.01,2,3,1,1,0.002015829086303711,0.015625,11,,2,
Bell,128,2,0.05,2,3,1,1,0.002056121826171875,0.06249999999999989,00,,2,
Bell,128,3,0.01,2,3,1,1,0.0018072128295898438,0.0546875,11,,2,
Bell,128,3,0.0,2,3,1,1,0.0020024776458740234,0.0078125,11,,2,
Bell,128,3,0.001,2,3,1,1,0.002386331558227539,0.015625,11,,2,
Bell,128,3,0.05,2,3,1,1,0.0029315948486328125,0.046875,00,,2,
Bell,512,0,0.0,2,3,1,1,0.0030012130737304688,0.025390625,11,,2,
Bell,512,0,0.001,2,3,1,1,0.0034637451171875,0.0390625,11,,2,
Bell,512,0,0.01,2,3,1,1,0.0030031204223632812,0.015624999999999889,11,,2,
Bell,512,0,0.05,2,3,1,1,0.0022797584533691406,0.06054687499999989,00,,2,
Bell,512,1,0.0,2,3,1,1,0.002198934555053711,0.021484375,00,,2,
Bell,512,1,0.001,2,3,1,1,0.0030858516693115234,0.015625,11,,2,
Bell,512,1,0.01,2,3,1,1,0.002516031265258789,0.015624999999999889,11,,2,
Bell,512,1,0.05,2,3,1,1,0.003385782241821289,0.05273437499999989,11,,2,
Bell,512,2,0.0,2,3,1,1,0.001744985580444336,0.046875,00,,2,
Bell,512,2,0.001,2,3,1,1,0.0022881031036376953,0.005859375,00,,2,
Bell,512,2,0.01,2,3,1,1,0.0032286643981933594,0.01757812499999989,00,,2,
Bell,512,2,0.05,2,3,1,1,0.0024285316467285156,0.0546875,11,,2,
Bell,512,3,0.0,2,3,1,1,0.0025801658630371094,0.01953125,11,,2,
Bell,512,3,0.001,2,3,1,1,0.003793478012084961,0.01953125,11,,2,
Bell,512,3,0.01,2,3,1,1,0.002627134323120117,0.01171875,00,,2,
Bell,512,3,0.05,2,3,1,1,0.002794981002807617,0.05078124999999989,00,,2,
Bell,1024,0,0.0,2,3,1,1,0.003437042236328125,0.0107421875,11,,2,
Bell,1024,0,0.001,2,3,1,1,0.0037429332733154297,0.0185546875,11,,2,
Bell,1024,0,0.01,2,3,1,1,0.00420832633972168,0.009765624999999889,00,,2,
Bell,1024,1,0.0,2,3,1,1,0.002581357955932617,0.005859375,11,,2,
Bell,1024,0,0.05,2,3,1,1,0.004084587097167969,0.04980468749999989,11,,2,
Bell,1024,1,0.001,2,3,1,1,0.0037331581115722656,0.0068359375,00,,2,
Bell,1024,1,0.01,2,3,1,1,0.005638837814331055,0.009765625,11,,2,
Bell,1024,1,0.05,2,3,1,1,0.005038022994995117,0.04003906249999989,11,,2,
Bell,1024,2,0.0,2,3,1,1,0.005389690399169922,0.01171875,00,,2,
Bell,1024,2,0.001,2,3,1,1,0.004153728485107422,0.0185546875,11,,2,
Bell,1024,2,0.01,2,3,1,1,0.0038635730743408203,0.006835937499999889,00,,2,
Bell,1024,2,0.05,2,3,1,1,0.003946542739868164,0.04394531249999989,00,,2,
Bell,1024,3,0.0,2,3,1,1,0.004305601119995117,0.021484375,11,,2,
Bell,1024,3,0.001,2,3,1,1,0.00445103645324707,0.0380859375,00,,2,
Bell,1024,3,0.01,2,3,1,1,0.0030188560485839844,0.0244140625,00,,2,
Bell,1024,3,0.05,2,3,1,1,0.004014730453491211,0.0400390625,00,,2,
Bell,4096,0,0.0,2,3,1,1,0.016423702239990234,0.005126953125,11,,2,
Bell,4096,0,0.001,2,3,1,1,0.010551691055297852,0.00634765625,11,,2,
Bell,4096,0,0.01,2,3,1,1,0.010511159896850586,0.010986328125,00,,2,
Bell,4096,0,0.05,2,3,1,1,0.013711690902709961,0.05395507812499989,11,,2,
Bell,4096,1,0.0,2,3,1,1,0.014562129974365234,0.009521484375,11,,2,
Bell,4096,1,0.001,2,3,1,1,0.010833263397216797,0.002197265625,00,,2,
Bell,4096,1,0.05,2,3,1,1,0.016932010650634766,0.05200195312499989,00,,2,
Bell,4096,1,0.01,2,3,1,1,0.012603998184204102,0.00927734375,11,,2,
Bell,4096,2,0.0,2,3,1,1,0.015431404113769531,0.000732421875,11,,2,
Bell,4096,2,0.001,2,3,1,1,0.014790534973144531,0.000488281249999889,00,,2,
Bell,4096,2,0.01,2,3,1,1,0.015365362167358398,0.010009765624999889,00,,2,
Bell,4096,2,0.05,2,3,1,1,0.01419687271118164,0.04785156249999989,00,,2,
Bell,4096,3,0.0,2,3,1,1,0.015208005905151367,0.001953125,00,,2,
Bell,4096,3,0.001,2,3,1,1,0.011998176574707031,0.005615234375,11,,2,
Bell,4096,3,0.01,2,3,1,1,0.014503955841064453,0.015869140625,11,,2,
Bell,4096,3,0.05,2,3,1,1,0.008667469024658203,0.05004882812499989,00,,2,
GHZ,128,0,0.0,2,3,1,1,0.0016446113586425781,0.03125,11,,2,
GHZ,128,0,0.001,2,3,1,1,0.002244234085083008,0.046875,00,,2,
GHZ,128,0,0.01,2,3,1,1,0.002254962921142578,0.0234375,11,,2,
GHZ,128,0,0.05,2,3,1,1,0.0021903514862060547,0.0390625,11,,2,
GHZ,128,1,0.0,2,3,1,1,0.0012035369873046875,0.0546875,00,,2,
GHZ,128,1,0.001,2,3,1,1,0.0019791126251220703,0.0078125,11,,2,
GHZ,128,1,0.01,2,3,1,1,0.0021338462829589844,0.03124999999999989,11,,2,
GHZ,128,2,0.0,2,3,1,1,0.0010199546813964844,0.0390625,11,,2,
GHZ,128,1,0.05,2,3,1,1,0.002215862274169922,0.07812499999999989,11,,2,
GHZ,128,2,0.01,2,3,1,1,0.0016858577728271484,0.09375,11,,2,
GHZ,128,2,0.001,2,3,1,1,0.003000974655151367,0.0234375,00,,2,
GHZ,128,2,0.05,2,3,1,1,0.002015829086303711,0.0234375,00,,2,
GHZ,128,3,0.0,2,3,1,1,0.0015411376953125,0.03125,00,,2,
GHZ,128,3,0.01,2,3,1,1,0.002172231674194336,0.03125,00,,2,
GHZ,128,3,0.001,2,3,1,1,0.0020999908447265625,0.046875,11,,2,
GHZ,128,3,0.05,2,3,1,1,0.002243518829345703,0.0546875,00,,2,
GHZ,512,0,0.0,2,3,1,1,0.002573728561401367,0.013671875,00,,2,
GHZ,512,0,0.001,2,3,1,1,0.0020608901977539062,0.001953125,11,,2,
GHZ,512,0,0.01,2,3,1,1,0.0027718544006347656,0.060546875,00,,2,
GHZ,512,0,0.05,2,3,1,1,0.003125429153442383,0.06249999999999989,11,,2,
GHZ,512,1,0.0,2,3,1,1,0.0018000602722167969,0.05078125,00,,2,
GHZ,512,1,0.001,2,3,1,1,0.0032033920288085938,0.017578125,00,,2,
GHZ,512,1,0.01,2,3,1,1,0.003042936325073242,0.01953125,11,,2,
GHZ,512,1,0.05,2,3,1,1,0.002663850784301758,0.03320312499999989,11,,2,
GHZ,512,2,0.0,2,3,1,1,0.0025238990783691406,0.025390625,11,,2,
GHZ,512,2,0.01,2,3,1,1,0.0028617382049560547,0.009765624999999889,11,,2,
GHZ,512,2,0.001,2,3,1,1,0.003703594207763672,0.009765625,00,,2,
GHZ,512,3,0.0,2,3,1,1,0.0019414424896240234,0.017578125,11,,2,
GHZ,512,2,0.05,2,3,1,1,0.0027666091918945312,0.05078124999999989,00,,2,
GHZ,512,3,0.001,2,3,1,1,0.0028314590454101562,0.03125,11,,2,
GHZ,512,3,0.01,2,3,1,1,0.006536960601806641,0.025390625,11,,2,
GHZ,512,3,0.05,2,3,1,1,0.002689838409423828,0.05664062499999989,11,,2,
GHZ,1024,0,0.0,2,3,1,1,0.004515171051025391,0.001953125,00,,2,
GHZ,1024,0,0.001,2,3,1,1,0.00478053092956543,0.0166015625,11,,2,
GHZ,1024,0,0.01,2,3,1,1,0.003854513168334961,0.0322265625,00,,2,
GHZ,1024,0,0.05,2,3,1,1,0.003547191619873047,0.04589843749999989,00,,2,
GHZ,1024,1,0.0,2,3,1,1,0.003339529037475586,0.0126953125,11,,2,
GHZ,1024,1,0.001,2,3,1,1,0.004127025604248047,0.0078125,11,,2,
GHZ,1024,1,0.01,2,3,1,1,0.0046842098236083984,0.011718749999999889,00,,2,
GHZ,1024,1,0.05,2,3,1,1,0.003834962844848633,0.04296874999999989,00,,2,
GHZ,1024,2,0.0,2,3,1,1,0.004609823226928711,1.1102230246251565e-16,00,,2,
GHZ,1024,2,0.001,2,3,1,1,0.00472569465637207,0.0185546875,11,,2,
GHZ,1024,2,0.01,2,3,1,1,0.0038607120513916016,0.021484375,11,,2,
GHZ,1024,2,0.05,2,3,1,1,0.0033462047576904297,0.05566406249999989,11,,2,
GHZ,1024,3,0.0,2,3,1,1,0.004049539566040039,0.029296875,11,,2,
GHZ,1024,3,0.001,2,3,1,1,0.00433349609375,0.00390625,00,,2,
GHZ,1024,3,0.05,2,3,1,1,0.0037262439727783203,0.04589843749999989,00,,2,
GHZ,1024,3,0.01,2,3,1,1,0.0054225921630859375,0.0205078125,00,,2,
GHZ,4096,0,0.0,2,3,1,1,0.010368824005126953,0.006103515625,11,,2,
GHZ,4096,0,0.001,2,3,1,1,0.012130498886108398,0.011474609375,11,,2,
GHZ,4096,0,0.05,2,3,1,1,0.0131988525390625,0.04882812499999989,11,,2,
GHZ,4096,0,0.01,2,3,1,1,0.010286331176757812,0.01025390625,00,,2,
GHZ,4096,1,0.0,2,3,1,1,0.014456033706665039,0.005859375,11,,2,
GHZ,4096,1,0.001,2,3,1,1,0.014256715774536133,0.005859375,11,,2,
GHZ,4096,1,0.01,2,3,1,1,0.01320338249206543,0.01318359375,11,,2,
GHZ,4096,1,0.05,2,3,1,1,0.0144500732421875,0.05444335937499989,11,,2,
GHZ,4096,2,0.0,2,3,1,1,0.015273571014404297,0.001220703125,00,,2,
GHZ,4096,2,0.001,2,3,1,1,0.01275777816772461,0.008544921875,00,,2,
GHZ,4096,2,0.01,2,3,1,1,0.008870840072631836,0.013671874999999889,11,,2,
GHZ,4096,2,0.05,2,3,1,1,0.011182785034179688,0.05468749999999989,11,,2,
GHZ,4096,3,0.0,2,3,1,1,0.013933181762695312,0.025146484375,11,,2,
GHZ,4096,3,0.001,2,3,1,1,0.00953054428100586,0.0166015625,11,,2,
GHZ,4096,3,0.01,2,3,1,1,0.01282644271850586,0.018310546875,11,,2,
GHZ,4096,3,0.05,2,3,1,1,0.01180887222290039,0.05297851562499989,00,,2,
GHZ,128,0,0.0,3,4,1,2,0.0010881423950195312,0.0390625,000,,3,
GHZ,128,0,0.001,3,4,1,2,0.0019741058349609375,0.0078125,111,,3,
GHZ,128,0,0.01,3,4,1,2,0.0021817684173583984,0.03125,111,,3,
GHZ,128,0,0.05,3,4,1,2,0.002240419387817383,0.1562499999999999,111,,3,
GHZ,128,1,0.0,3,4,1,2,0.0011453628540039062,0.0390625,000,,3,
GHZ,128,1,0.001,3,4,1,2,0.001882791519165039,0.0390625,111,,3,
GHZ,128,1,0.01,3,4,1,2,0.002147197723388672,0.0390625,000,,3,
GHZ,128,1,0.05,3,4,1,2,0.0019905567169189453,0.1484374999999999,000,,3,
GHZ,128,2,0.0,3,4,1,2,0.001196146011352539,0.015625,000,,3,
GHZ,128,2,0.001,3,4,1,2,0.002099752426147461,0.078125,000,,3,
GHZ,128,2,0.01,3,4,1,2,0.0018329620361328125,0.046875,000,,3,
GHZ,128,2,0.05,3,4,1,2,0.00201416015625,0.15625,111,,3,
GHZ,128,3,0.0,3,4,1,2,0.0011420249938964844,0.0078125,111,,3,
GHZ,128,3,0.001,3,4,1,2,0.002084016799926758,0.046875,000,,3,
GHZ,128,3,0.05,3,4,1,2,0.003183126449584961,0.1562499999999999,000,,3,
GHZ,128,3,0.01,3,4,1,2,0.0019676685333251953,0.046875,111,,3,
GHZ,512,0,0.0,3,4,1,2,0.0023992061614990234,0.015625,000,,3,
GHZ,512,0,0.001,3,4,1,2,0.003598928451538086,0.03125,111,,3,
GHZ,512,0,0.01,3,4,1,2,0.003994464874267578,0.017578125,111,,3,
GHZ,512,0,0.05,3,4,1,2,0.004034996032714844,0.10937499999999989,000,,3,
GHZ,512,1,0.0,3,4,1,2,0.002192258834838867,0.0234375,000,,3,
GHZ,512,1,0.001,3,4,1,2,0.002568483352661133,0.017578125,000,,3,
GHZ,512,1,0.01,3,4,1,2,0.002758502960205078,0.025390625,000,,3,
GHZ,512,1,0.05,3,4,1,2,0.0026340484619140625,0.10156249999999989,111,,3,
GHZ,512,2,0.0,3,4,1,2,0.0020618438720703125,0.025390625,111,,3,
GHZ,512,2,0.001,3,4,1,2,0.002282857894897461,0.021484375,000,,3,
GHZ,512,2,0.05,3,4,1,2,0.003760814666748047,0.12499999999999989,111,,3,
GHZ,512,2,0.01,3,4,1,2,0.002502918243408203,0.021484375,000,,3,
GHZ,512,3,0.0,3,4,1,2,0.0015549659729003906,0.017578125,000,,3,
GHZ,512,3,0.01,3,4,1,2,0.003725767135620117,0.02148437499999989,111,,3,
GHZ,512,3,0.001,3,4,1,2,0.015555620193481445,0.005859375,111,,3,
GHZ,512,3,0.05,3,4,1,2,0.007271289825439453,0.1289062499999999,111,,3,
GHZ,1024,0,0.0,3,4,1,2,0.005311489105224609,1.1102230246251565e-16,000,,3,
GHZ,1024,0,0.01,3,4,1,2,0.0037801265716552734,0.03515625,000,,3,
GHZ,1024,0,0.001,3,4,1,2,0.004135847091674805,0.0029296875,111,,3,
GHZ,1024,0,0.05,3,4,1,2,0.0033211708068847656,0.10937499999999989,000,,3,
GHZ,1024,1,0.0,3,4,1,2,0.005021095275878906,0.0322265625,000,,3,
GHZ,1024,1,0.001,3,4,1,2,0.0036122798919677734,0.025390625,111,,3,
GHZ,1024,1,0.01,3,4,1,2,0.0035326480865478516,0.0400390625,000,,3,
GHZ,1024,1,0.05,3,4,1,2,0.0059587955474853516,0.1289062499999999,111,,3,
GHZ,1024,2,0.0,3,4,1,2,0.008008003234863281,0.015625,111,,3,
GHZ,1024,2,0.001,3,4,1,2,0.0032553672790527344,0.001953125,111,,3,
GHZ,1024,2,0.01,3,4,1,2,0.003807544708251953,0.0361328125,111,,3,
GHZ,1024,2,0.05,3,4,1,2,0.005645751953125,0.10937499999999989,000,,3,
GHZ,1024,3,0.0,3,4,1,2,0.00452113151550293,0.00390625,111,,3,
GHZ,1024,3,0.001,3,4,1,2,0.003225088119506836,0.03125,000,,3,
GHZ,1024,3,0.01,3,4,1,2,0.002915620803833008,0.0283203125,111,,3,
GHZ,1024,3,0.05,3,4,1,2,0.002377033233642578,0.1259765624999999,111,,3,
GHZ,4096,0,0.0,3,4,1,2,0.016033411026000977,0.00341796875,111,,3,
GHZ,4096,0,0.001,3,4,1,2,0.008868217468261719,0.0205078125,111,,3,
GHZ,4096,0,0.01,3,4,1,2,0.010229110717773438,0.02514648437499989,111,,3,
GHZ,4096,0,0.05,3,4,1,2,0.013089656829833984,0.11206054687499989,000,,3,
GHZ,4096,1,0.0,3,4,1,2,0.012235879898071289,0.00146484375,111,,3,
GHZ,4096,1,0.001,3,4,1,2,0.006743907928466797,0.009521484375,111,,3,
GHZ,4096,1,0.05,3,4,1,2,0.0074634552001953125,0.12255859374999989,000,,3,
GHZ,4096,1,0.01,3,4,1,2,0.007927656173706055,0.03076171875,000,,3,
GHZ,4096,2,0.0,3,4,1,2,0.014173030853271484,0.009765625,111,,3,
GHZ,4096,2,0.001,3,4,1,2,0.014473438262939453,0.002441406249999889,111,,3,
GHZ,4096,2,0.01,3,4,1,2,0.012670516967773438,0.02416992187499989,000,,3,
GHZ,4096,2,0.05,3,4,1,2,0.009470462799072266,0.12036132812499989,111,,3,
GHZ,4096,3,0.0,3,4,1,2,0.015455961227416992,0.007568359375,111,,3,
GHZ,4096,3,0.001,3,4,1,2,0.011463403701782227,0.005126953125,111,,3,
GHZ,4096,3,0.01,3,4,1,2,0.008476018905639648,0.02343749999999989,111,,3,
GHZ,4096,3,0.05,3,4,1,2,0.011667251586914062,0.12158203124999989,000,,3,
GHZ,128,0,0.0,4,5,1,3,0.003540515899658203,0.046875,1111,,4,
GHZ,128,0,0.001,4,5,1,3,0.01728200912475586,0.0078125,0000,,4,
GHZ,128,0,0.01,4,5,1,3,0.0030858516693115234,0.09375,1111,,4,
GHZ,128,0,0.05,4,5,1,3,0.003531217575073242,0.2343749999999999,0000,,4,
